Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
20	20999	38594.923424720764	641.1521	58.840206	695.6787	546.0592	216.75	639.67926	0.0	639.67926	639.67926	203.0	163.28102	57.02405	230.30254	-76.520615	11.162695	1.0121258	2.8481605	23.413017	-11.7674265	-166.57841	0.10749731	0.00081709697	0.10855132	0.10613862	0.027121397	1.0444125	0.8415276	8.523004	1.6391277e-07	202.14612	66.8534	268.4074	3.6130254	194.94537	64.99742	258.31918	3.6130254	171.47546	54.395737	220.40427	-2.795477	-23.469917	18.805895	32.369656	-48.831463	27.317402	12.580071	48.831463	0.14474316	-0.098721124	0.22294304	3.1842349	-0.7334401	904.4986	660.5479	2384.512	0.020950582	4.734382	6.0635147	101.39352	0.00044696
21	21999	41037.92798447609	709.15686	66.32961	795.35596	634.99585	228.4	855.0583	0.0	855.0583	855.0583	259.0	167.25774	57.898315	233.2703	-76.972435	10.040336	1.0110207	2.854522	24.61927	-11.820789	-170.46976	0.10848817	0.0002843111	0.10969193	0.108085155	0.024473462	1.055764	0.84395444	7.770095	4.4703484e-08	233.07939	73.81076	298.8412	3.7070158	220.70305	69.3821	286.16937	3.7070158	179.63708	53.97456	224.83975	-4.5905285	-41.06597	17.028906	2.8754618	-68.6431	41.07581	17.005167	68.6431	0.01963764	-0.18301257	0.0597195	0.18434687	-0.9510214	1976.3978	1214.9474	4711.875	0.0003856369	7.911631	4.0391006	17.30846	3.856369e-05
22	22999	43514.30477333069	798.5326	64.552704	888.9216	716.60626	247.25	844.7813	0.0	844.7813	844.7813	260.0	172.2995	58.743553	239.33047	-82.954094	10.27699	1.0550026	2.8435056	24.02184	-11.088596	-175.48703	0.11481552	0.0031308588	0.11950153	0.10971197	0.11931438	1.0574591	0.83451295	6.999121	3.233552e-06	231.59567	70.81336	291.4307	4.5763497	221.52998	69.175705	282.25235	4.5763497	183.77481	56.429695	229.66167	0.7980951	-37.755173	14.321805	19.004103	-65.208916	37.92822	13.857039	65.208916	0.2595237	-0.16296735	0.101007275	1.9004103	-0.48196894	1630.5673	904.37134	4252.2026	0.06735254	6.741376	3.179942	36.115593	0.0030335265
23	23999	45983.006202459335	773.4795	123.47317	868.7729	561.448	237.75	1085.8182	0.0	1085.8182	1085.8182	317.0	177.11024	60.399975	246.62498	-87.84052	10.320309	1.033482	2.7798448	23.214329	-9.855488	-180.29597	0.12132863	0.0018751876	0.12537605	0.11877445	0.07043132	1.0466251	0.8194504	6.464349	1.1920929e-07	250.8142	77.00284	323.3831	4.613468	238.41202	73.93451	314.22235	4.613468	193.6861	57.66566	245.07278	3.721974	-44.725903	17.631647	8.673991	-76.18406	44.875294	17.24788	76.18406	0.1359564	-0.17572358	0.06972901	0.7892632	-0.37355602	2311.2812	1334.7542	5804.0103	0.018484145	8.663726	4.0408297	19.54038	0.0008561178
24	24999	48427.515548467636	963.72504	42.72164	1001.25287	903.95557	286.66666	3390.0347	0.0	3390.0347	3390.0347	1000.0	181.51353	62.204723	252.62166	-79.436646	10.35587	1.0258663	2.7588396	22.43121	-15.440084	-184.72104	0.12863299	0.0013723313	0.13049525	0.12538199	0.05324974	1.0428365	0.81527996	5.807966	3.5762787e-07	319.13022	56.809772	369.57236	4.558762	307.23395	55.350243	362.82294	4.558762	235.48878	36.274612	275.56055	7.11403	-71.74519	21.509706	3.2528305	-129.55121	71.76744	21.435349	129.55121	0.17093655	-0.2250304	0.054121114	0.25552678	-0.37589937	5610.04	2590.5305	16783.514	0.029219305	17.230595	6.893668	48.698215	0.00023129505
25	25999	50884.91561341286	1107.8993	31.07108	1151.7349	1083.3452	325.66666	1297.1378	0.0	1297.1378	1297.1378	372.0	185.82014	63.44263	258.74493	-94.65337	10.266535	1.0079509	2.7045994	23.385729	-10.692766	-188.911	0.13189028	0.000701008	0.1328772	0.13026376	0.016195294	1.0374053	0.81065863	6.3300557	1.1622906e-06	274.1205	75.32317	355.87573	4.5453935	262.50238	72.722664	345.38953	4.5453935	219.23746	55.951138	274.80966	-0.14831778	-43.2649	20.982082	15.941563	-85.57673	43.661594	20.143602	85.57673	0.01142236	-0.15423642	0.10458413	1.5941563	-0.6324685	2312.0994	1639.34	7323.376	0.00013047032	7.9119163	4.7711596	25.413342	9.249522e-07
26	26999	53312.42307686806	937.7733	20.263367	958.0367	917.50995	278.5	3294.8994	0.0	3294.8994	3294.8994	1000.0	190.65251	65.31465	296.16797	-83.51931	10.220894	1.0096447	2.6831324	23.410275	-10.944357	-193.72218	0.1322839	0.0007803673	0.13401245	0.1310756	0.01950621	1.0298337	0.81157225	6.70335	2.682209e-06	337.06796	26.758114	366.74557	248.33437	325.84225	24.906221	356.74457	250.704	269.82632	20.725424	302.50842	213.35664	-56.015965	7.8886814	-37.17767	-75.67021	56.015965	7.8886814	75.67021	37.17767	-0.17167698	0.018307973	-0.11969267	-0.22516328	3200.0193	880.23773	5725.981	1382.179	9.741036	2.3212187	17.015871	4.9230957
27	27999	55770.4231903553	2493.3325	117.28479	2610.6174	2376.0479	713.0	1047.9089	0.0	1047.9089	1047.9089	326.0	195.49173	67.38523	314.5528	-79.829025	10.338036	1.005721	2.6742117	24.763155	-11.271314	-198.54187	0.13516046	0.0004120814	0.13614492	0.13395916	0.011513069	1.0267246	0.8113017	6.2347813	1.4603138e-06	244.08308	80.06537	333.36658	2.2877502	240.22408	80.52466	326.15897	2.2877502	271.78516	24.126333	317.34198	215.9542	31.56109	78.13637	282.5555	-41.3732	59.02307	60.147076	282.5555	0.20848197	0.8229545	3.4444265	28.25555	-0.14446665	7101.3945	14672.14	79837.62	0.043464728	195.94878	914.1758	7983.7617	0.00014761114
28	28999	58236.41763305664	562.2786	136.2492	698.52783	426.02942	207.5	3256.2988	0.0	3256.2988	3256.2988	1000.0	200.23547	67.97065	311.1667	-79.889404	14.566594	0.9942201	2.7271917	21.987617	-15.230244	-203.27971	0.13256583	0.0021278076	0.1360017	0.12991914	-0.011481689	1.0186566	0.8112846	6.064006	2.2649765e-06	281.49368	73.694984	353.80313	4.5137815	268.5137	69.98576	341.10754	4.5137815	227.12698	56.35427	283.0131	-0.35826164	-41.386726	19.639082	4.455273	-83.07348	41.399475	19.612183	83.07348	0.84907264	-0.15200487	0.05713759	0.096624404	-0.6980378	2098.5544	1632.3568	6901.203	0.7209243	7.0366096	4.741092	20.759846	0.0040502483
29	29999	60692.32286524773	2742.0	542.7533	3284.7534	2199.2468	806.5	3366.9902	0.0	3366.9902	3366.9902	1000.0	208.48917	71.373314	303.81546	-88.46768	13.826784	1.0508004	2.8195863	22.503056	-10.582811	-211.58278	0.14116287	0.0033275124	0.1442647	0.13379546	0.10037982	1.0358183	0.81542724	7.085087	0.0	338.76846	25.469408	360.8114	251.18672	328.62796	25.786835	358.25476	231.745	269.24915	13.363698	290.01663	217.20113	-59.3788	14.771931	-7.194449	-84.13016	59.3788	14.771931	84.13016	7.194449	-0.17827946	0.03574785	-0.025712077	-0.24120905	3744.0518	1517.7599	7077.883	51.760098	11.10637	4.082115	20.292953	0.18498422
30	30999	63158.54559469223	1423.9668	246.71716	1670.684	1177.2496	404.0	3268.17	0.0	3268.17	3268.17	1000.0	212.63507	73.14551	306.6376	-81.79979	13.65041	1.0060226	2.7978318	21.909546	-13.030951	-215.7712	0.14368866	0.0006588578	0.14553022	0.14288954	0.011684225	1.0276035	0.8166774	6.4888287	8.046627e-07	330.7812	22.30734	353.02933	250.54552	328.91547	20.743444	352.16333	257.9155	280.78946	14.197971	298.02557	227.37961	-48.125988	8.694077	-30.103136	-64.80712	48.125988	8.694077	64.80712	30.103136	-0.14542587	0.01995495	-0.101518765	-0.19486277	2391.6975	798.9247	4199.9624	906.1988	7.1681294	2.154774	12.608513	3.1700728
31	31999	65600.5235555172	3284.6335	0.0	3284.6335	3284.6335	1000.0	3227.8135	0.0	3227.8135	3227.8135	1000.0	215.93114	72.85005	308.64032	-85.89586	13.062522	0.9775955	2.777922	22.27322	-10.128928	-218.95589	0.14352675	0.0016730148	0.14563373	0.14048758	-0.04350647	1.026669	0.81473196	6.2263002	2.2798777e-06	329.522	21.730692	359.4945	251.54239	328.7965	20.50603	355.16855	260.57516	283.97202	15.38071	302.88385	227.53142	-44.824505	7.1576567	-29.042963	-61.09788	44.824505	7.1576567	61.09788	29.042963	-0.13574126	0.015962215	-0.09411381	-0.17944527	2060.468	631.83203	3732.9512	843.49365	6.193709	1.6646445	10.963726	2.7333438
32	32999	67839.51214694977	3284.7222	0.0	3284.7222	3284.7222	1000.0	3332.9646	0.0	3332.9646	3332.9646	1000.0	218.7476	73.100494	308.13455	-88.48507	12.825603	0.9634966	2.7685378	23.121733	-12.155978	-221.6462	0.13812232	0.0024001643	0.14139393	0.13304049	-0.072561584	1.0208801	0.8120397	6.2576947	2.9802322e-08	341.63275	22.793287	365.86472	255.96281	338.21683	21.168715	365.57022	264.87585	284.51495	15.843583	302.58075	227.15787	-53.70189	7.5402513	-37.059105	-69.68591	53.70189	7.5402513	69.68591	37.059105	-0.15826355	0.015478955	-0.13169838	-0.19622852	2940.7485	810.7159	4856.126	1373.3772	8.608307	2.0236707	13.639045	5.168151
33	33999	69941.91925501823	3290.539	0.0	3290.539	3290.539	1000.0	3338.4673	0.0	3338.4673	3338.4673	1000.0	221.0192	73.11758	311.9876	-82.72438	11.229097	0.9805993	2.7673056	23.333948	-12.639333	-223.88884	0.13073458	0.0007731868	0.13303205	0.12897635	-0.03937098	1.0153615	0.8107977	6.1399117	1.7136335e-07	300.82684	65.58265	357.96118	5.016083	293.52792	66.0186	359.86807	5.016083	262.09946	46.429653	306.51996	48.005657	-31.428465	23.26514	42.989574	-60.23507	34.678894	18.066248	60.23507	0.14062428	-0.070981055	0.26297152	4.2989573	-0.17231955	1529.0151	1124.6648	3628.2634	0.01977519	5.579596	10.185285	184.81035	7.577029e-05
34	34999	72008.61585235596	3384.213	0.0	3384.213	3384.213	1000.0	2433.5078	0.0	2433.5078	2433.5078	685.0	224.18166	73.496994	315.20496	-76.93878	11.260196	0.98454934	2.7457397	23.065262	-12.1668	-226.96434	0.12723747	0.0008356689	0.12904836	0.12604047	-0.031773664	1.0094117	0.80647415	6.3466473	1.847744e-06	304.60022	63.574814	359.7797	4.519941	297.43643	64.53143	360.9028	4.519941	266.20355	50.937885	309.0995	2.9454446	-31.232895	21.113007	31.410286	-56.956535	34.071552	16.13636	56.956535	0.25647202	-0.097759426	0.07151623	0.23058426	-0.2320517	1421.2528	953.21045	3244.0469	0.06577789	4.428244	2.6576717	9.402025	0.00024035473
